Registration District	Sept 1837 to 1851	1852 to June 1946	Sept 1946 to March 1965	June 1965 to March 1974	June 1974 to Dec 1992	Mar 1993 to Dec 1996	1997 to 2001
Colwyn (or - Bay)	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	24	53	802
Congleton	19	8A	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	344
Congleton (& Crewe)	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	35	ABOLISHED 1991	344
Conway (Valley)	27	11B	8A	8A	ABOLISHED 1974	ABOLISHED 1974	*16*
Cookham	6	2C	ABOLISHED 1896	ABOLISHED 1896	ABOLISHED 1896	ABOLISHED 1896	322
Cornwall	-	5C	-	-	-	-	*0*
Corby (pre. Kettering)	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	7	42	667
Corwen	27	11B	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	805
Cosford	12	4A	ABOLISHED 1938	ABOLISHED 1938	ABOLISHED 1938	ABOLISHED 1938	*17*
Coventry	16	6D	9C	9C	33	7	63
Cowbridge (Vale of Glamorgan)	26	11A					891
Cranbrook	5	2A	ABOLISHED 1941	ABOLISHED 1941	ABOLISHED 1941	ABOLISHED 1941	576
Crawley			CREATED 1974	CREATED 1974	18		780
Crediton	10	5B	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	421
Crewe	CREATED 1937	8A	10A	10A	ABOLISHED 1974	ABOLISHED 1974	342
Crickhowell	26	11B	8A	8A	ABOLISHED 1974	ABOLISHED 1974	833
Cricklade (Swindon)	8	5A	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	788
Crosby (Sefton South)	CREATED 1934	8B	10C	10C	37	3	32
Croydon	4	2A	5G	5A	11	11	225
Cuckfield	7	2B	5H	5H	18	ABOLISHED 1980	781
Cumberland	-	10B	-	-	-	-	*0*
Dacorum	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	10	34	530
Darlington	24	10A	1A	1A	1	28	436
Dartford	5	2A	5B	5F	16	ABOLISHED 1980	562
Darwen (Blackburn with _)	CREATED 1937	8E	10C	10C	ABOLISHED 1974	ABOLISHED 1974	580
Daventry	15	3B	3B	3B	7	42	670
Dawley	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	18	51	30
De Meirionwydd	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	25	56	*0*
Deben (Debenham)	CREATED 1935	4A	4B	4B	10	48	745
Delyn	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	24	53	*85*
Denbigh N (Gogledd Sir Ddinbych	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	53	811
Denbighshire S (De Sir Ddinbych)	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	53	805
Deptford	CREATED 1930	1D	5C	5D	ABOLISHED 1966	ABOLISHED 1966	242
Depwade	13	4B	4B	4B	10	40	632
Derby	19	7B	3A	3A	6	25	394
Devizes (& Marlborough)	8	5A	7C	7C	23	52	789
Devon Central	CREATED 1936	5B	7A	7A	ABOLISHED 1974	ABOLISHED 1974	*18*
Devonport	CREATED 1898	5B	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	416
Dewsbury	22	9B	2B	2B	4	9	88
Docking	13	4B	ABOLISHED 1939	ABOLISHED 1939	ABOLISHED 1939	ABOLISHED 1939	637
Dolgelly	27	11B	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	*19*
Don Valley	CREATED 1938	9C	2B	2B	ABOLISHED 1974	ABOLISHED 1974	*20*
Doncaster	22	9C	2B	2B	3	4	42
Dorchester	8	5A	6A	ABOLISHED 1949	ABOLISHED 1949	ABOLISHED 1949	432
Dore (Hereford & _)	26	6A	9A	9A	29	33	516
Dorking	4	2A	ABOLISHED 1934	ABOLISHED 1934	ABOLISHED 1934	ABOLISHED 1934	755
Dover	5	2A	5B	5F	16	36	575
Dowborough (was Uckfield)	CREATED 2000	CREATED 2000	CREATED 2000	CREATED 2000	CREATED 2000	CREATED 2000	461
Downham	13	4B	4B	4B	10	40	639
Drayton	18	6A	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	713
Driffield	23	9D	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	544
Droitwich	18	6C	9D	9D	29	33	514
Droxford	7	2C	6B	6B	20	32	492
Dudley	18	6B/6C	9D	9B	33	7	65
Dulverton	10	5C	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	725
Dunmow	12	4A	4A	4A	ABOLISHED 1968	ABOLISHED 1968	*21*
Dunstable (now Beds)	CREATED 1969	CREATED 1969	CREATED 1969	4A	9	9	309
Durham Central (NEW)	CREATED 1938	10A	1A	1A	ABOLISHED 1971	ABOLISHED 1971	*22*
Durham Eastern	CREATED 1938	10A	1A	1A	1	28	438
Durham North Eastern	CREATED 1938	10A	1A	1A	ABOLISHED 1974	ABOLISHED 1974	*23*
Durham North Western	CREATED 1938	10A	1A	1A	ABOLISHED 1974	ABOLISHED 1974	*24*
Durham Northern	CREATED 1938	10A	1A	1A	1	28	438
Durham South Eastern	CREATED 1938	10A	1A	1A	ABOLISHED 1971	ABOLISHED 1971	*22*
Durham South Western	CREATED 1938	10A	1A	1A	1	28	438
Durham Western	CREATED 1938	10A	1A	1A	1	28	438
Dursley	11	6A	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	487
Dwyffryn Conwy	CREATED 1974	CREATED 1974	CREATED 1974	25	25	ABOLISHED 1975	846
Dwyfor	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	56	25
Ealing	CREATED 1947	CREATED 1947	5E	5B	12	12	226
Easington	24	10A	ABOLISHED 1938	ABOLISHED 1938	ABOLISHED 1938	ABOLISHED 1938	439
Easingwold	24	9D	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	650
East Ashford (Ashford)	5	2A	ABOLISHED 1941	ABOLISHED 1941	ABOLISHED 1941	ABOLISHED 1941	558
East Cleveland	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	3	22	349
East Dereham	CREATED 1939	4B	4B	4B	10	40	634
East Devon	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	410
East Dorset	CREATED 1997	CREATED 1997	CREATED 1997	CREATED 1997	CREATED 1997	CREATED 1997	426
East Elloe (now Lincolnshire)	CREATED 1936	7A	3B	3B	7	29	613
East Glamorgan	CREATED 1935	11A	8B	8B	ABOLISHED 1974	ABOLISHED 1974	*25*
East Grinstead	7	2B	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	780
East Ham	CREATED 1935	4A	5A	5E	ABOLISHED 1968	ABOLISHED 1968	257
East London	2	1C	ABOLISHED 1870	ABOLISHED 1870	ABOLISHED 1870	ABOLISHED 1870	*100*
East Preston	CREATED 1870	2B	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	*26*
East Retford	15	7B	3C	3C	8	43	686
